cell_id	fov	annotation	x_positions	y_positions
38	0	MK	4.019701863354037	73.92434330886505
43	0	Myeloid	6.553372861433982	88.57249680031343
47	0	Erythroidpro	6.551956350409215	33.753453773870866
49	0	Erythroid	9.226618048711812	104.62311079825426
50	0	Erythroid	6.19541525531644	18.58055214567681
51	0	Erythroidpro	9.277521480289622	53.95645245374095
53	0	AEC	6.186774538964902	120.04938845925044
55	0	Erythroid	7.3637774873996635	135.25245025200672
56	0	MK	8.871448076575764	76.43363048582265
58	0	Erythroid	12.644248772504092	82.86072667757773
60	0	Erythroidpro	11.25861034846885	151.41598099260824
62	0	Erythroid	12.326806947608201	67.56190318906606
63	0	Erythroidpro	11.71693407821229	142.19358435754188
65	0	Myeloid	12.500880847308032	34.627750220653134
66	0	Erythroid	12.934756849315068	44.33959417808219
67	0	Erythroid	13.345618097613109	126.35088136800854
68	0	AEC	12.857561014054907	117.62773256272165
71	0	Erythroidpro	15.931024491203862	112.14989720593309
72	0	Erythroidpro	15.219332751091704	94.17041397379913
73	0	Myeloid	12.479605278707899	156.8660965136892
74	0	Erythroidpro	16.507168931483335	13.451669575168074
75	0	Erythroidpro	18.401312868949233	30.17865407319953
77	0	Erythroid	16.451663882063883	133.07174447174447
78	0	Erythroid	17.419450389889754	49.69922452272116
80	0	Erythroid	18.337505481120584	146.28367600487212
83	0	Erythroid	19.885461698505768	4.844107433327029
84	0	Erythroidpro	21.253750375939852	86.71301052631578
86	0	Erythroidpro	21.099345559447762	122.80390026787553
88	0	Myeloid	22.896745398773007	72.38901533742332
89	0	Erythroid	23.142946208344267	51.56114405667804
90	0	Erythroid	20.402579123676805	100.90539997320113
93	0	Erythroid	23.514449952933795	146.97857922811423
94	0	AEC	22.14510557831705	153.75837125748504
96	0	Erythroid	21.833320414300033	137.97110056799198
97	0	Erythroidpro	24.832792531120333	8.207253112033195
101	0	Erythroidpro	26.8152215661104	96.07505314505777
103	0	Erythroidpro	28.427325060048037	23.416793034427542
105	0	Erythroid	27.623980937251787	157.95559015091342
106	0	Hepatocyte	25.747131289762866	33.35882012724118
108	0	Myeloid	29.650498563676987	73.50151484200447
109	0	Erythroid	27.15423449239909	132.46412301240608
110	0	Myeloid	28.774151843817783	85.19888069414317
113	0	Erythroid	29.742741730704974	149.0253498162379
114	0	Erythroidpro	25.864510171853226	42.42603176962378
115	0	Erythroid	29.23558837459634	127.27754660925726
117	0	Erythroidpro	31.18889968321014	9.84012671594509
123	0	Erythroid	34.31933322565014	120.82836246163787
125	0	Erythroid	33.41252353034384	105.93667120900015
126	0	Myeloid	35.07293488745981	81.57075482315113
127	0	Erythroidpro	34.31883836589698	34.983991119005324
128	0	Erythroidpro	36.407923107729275	53.215597917501
129	0	Hepatocyte	34.148199955066275	93.6491026735565
130	0	Erythroidpro	36.72721474712463	144.6743973530802
131	0	Erythroidpro	36.18050521251003	155.51151242983158
132	0	Erythroidpro	38.48513734619222	75.80184901895576
134	0	Hepatocyte	35.46577801958651	113.69785201305767
135	0	Erythroid	37.51895263678778	135.14715057260003
136	0	Hepatocyte	38.07511014582687	66.22377040024821
137	0	Erythroid	38.016645621394865	25.08231190351337
140	0	Erythroid	41.321480672268905	86.49399327731092
141	0	Myeloid	39.90288813559322	44.3476443285528
143	0	Erythroid	40.58877229226796	15.23490688136108
144	0	Erythroid	41.39732429133325	106.44134599213346
146	0	Myeloid	42.77844990176817	149.89065913555993
147	0	Erythroidpro	42.7580074019245	140.42749962990376
148	0	Erythroidpro	40.91362064211148	35.21446681110892
149	0	Erythroid	43.72976536912751	127.21634577181209
150	0	Hepatocyte	42.52027559471366	120.67269145374448
152	0	Hepatocyte	45.235607504690435	62.66213696060038
153	0	Hepatocyte	45.17619445593711	72.95824493173356
154	0	Erythroid	44.367924528301884	51.57846540880503
155	0	Erythroidpro	46.59126279069768	40.5
158	0	Hepatocyte	46.55772022925069	20.53895903205264
160	0	Erythroid	45.08002173913044	113.54135532233882
163	0	Erythroid	47.71136794354838	82.15452217741935
164	0	Erythroid	48.32782436670688	131.550461761158
167	0	Erythroid	48.59207071547421	158.9556489184692
168	0	Erythroid	48.17588979336256	46.926304320601126
169	0	Macrophage	48.383164541083	28.108044323646244
172	0	AEC	49.286031271244056	12.75299388171312
173	0	Erythroid	49.23098690671031	137.55253846153846
174	0	Erythroidpro	51.890527999999996	36.067264
175	0	Hepatocyte	50.2567457957592	55.196265171825495
176	0	Erythroidpro	50.688801227935535	103.66869992325404
177	0	Erythroid	54.94173023473081	72.56506504729651
179	0	Erythroid	53.04976119402985	21.279773405698776
180	0	Erythroid	51.90873572834646	115.37797588582676
181	0	AEC	54.82828025477707	14.354343949044587
182	0	AEC	55.78214466869083	60.37649437399536
183	0	Erythroid	54.11678500151195	121.915115814938
184	0	Hepatocyte	54.77422897284982	43.63128232390355
185	0	Erythroid	56.51103157894737	30.08178245614035
186	0	Erythroidpro	55.23826022027254	6.251036774313982
187	0	Erythroid	56.073211055276374	156.9949824120603
188	0	Erythroid	55.430780856423176	143.05541561712846
189	0	Erythroid	53.82685112359551	127.33771348314606
190	0	Erythroid	56.385879769994766	135.45494929430214
192	0	Erythroid	54.772940732984296	86.91842261780104
194	0	Unknown	58.06039751552795	108.66748136645963
195	0	AEC	59.861864628006714	66.9900257318665
196	0	Erythroid	58.23391422633667	80.31119138484792
197	0	Erythroid	60.40466007093522	117.24590479746126
198	0	Erythroid	60.82806643598616	127.97992525951555
200	0	AEC	60.47561365187713	11.420133788395903
202	0	Hepatocyte	60.925019578869595	22.085128925009236
